SL,Text,Category,Polarity
14,"আমি সব অভিনেতা মেগাডেথ দেখেছি, মি-স্ক্রুফ, সেন্ট জার্নাল, ঐতিহ্যগত ভিয়েতনামী গান, কালো বিশ্রামবার, জে-জেড, এবং ডাফ্ট।  ",ambience,neutral
15,"আমাদের টোস্ট ভুলে গেছি,তাদের পেঁয়াজ ছিল না, , বাম দিকের উপাদানগুলি (একটি omelet পনির), গরম তাপমাত্রা নিচে এবং বেসিন এত উপর রান্না করা ছিল, যখন এটি আমি প্লেট উপর করে crumbled  স্পর্শ করি।",food,negative
16,"আমাদের চেক পেতে আধা ঘন্টার সময় লাগে, যা নিখুঁত ছিল যেহেতু আমরা বসতে, পান করতে ও কথা বলতে পারি!",service,conflict
17,যেমন ভাল নকশা এবং বায়ুমণ্ডল ,ambience,positive
18,"তিনি পাখি বিশেষজ্ঞ ,থাইল্যান্ড গিয়েছিলেন",food,positive
19,আমি অবশ্যই মরিয়মের সুপারিশ করব এবং এটি আমার নিয়মিত প্রতিবেশী হান্টগুলির মধ্যে একটি।,anecdotes/miscellaneous,positive
20,পিজাটি সেরা যদি আপনি পাতলার বিপরীতে পিজা পছন্দ করেন।,food,positive
21,"একটি মহান সময় ছিল,যখন আমার বান্ধবী এবং আমি অন্য রাতে এই hopping জায়গায় সম্মুখ দিকে ছিলাম।",anecdotes/miscellaneous,positive
22,"তারা এত দ্রুত কিনছেন যে,তারা সাহায্য করতে পারবে না।",anecdotes/miscellaneous,neutral
23,"দ্বিতীয়ত, এই রাতে জায়গাটি পূর্ব দিকের মহিলার সুগন্ধি দ্বারা পরিপূর্ণ ছিল।",ambience,negative
24," নিছক সুবিধার পাশাপাশি কোন কারণে,আমি এখানে সমান্য একটু খানি খেয়ে আছে।",anecdotes/miscellaneous,neutral
25,স্পষ্টতই জানেন একটি পাই যা লোকেরা দ্বারা চালিত,service,positive
26,আমরা খুব হতাশ ছিলাম,anecdotes/miscellaneous,negative
27,এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,anecdotes/miscellaneous,positive
28,এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,price,positive
29,আমি সত্যিই এই জায়গা পছন্দ করেছি।,anecdotes/miscellaneous,positive
30,আমি খুব শীঘ্রই ফিরে যাচ্ছি।,anecdotes/miscellaneous,positive
31,"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে। ",ambience,positive
32,"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে। ",food,negative
33," আসনগুলি অস্বস্তিকর হয়, যদি আপনি কাঠের বেঞ্চে প্রাচীরের পাশে বসে থাকেন।",ambience,negative
34, কোন বরফ জন্য জিজ্ঞাসা লেট সঙ্গে seltzer.,food,neutral
35,এটা চমত্কার ও খুব সস্তা ছিল  ,price,positive
36,ফিরে আসবে না,anecdotes/miscellaneous,negative
37,একা যান না - টুকরা এবং খাবার এবং সিফুসের একটি নির্বাচন এমনকি দুইজন মানুষ সম্পূর্ণ অভিজ্ঞতার জন্য যথেষ্ট নয়।,food,positive
38,"আমার পরামর্শ আপনি পরিবারের স্টাইলে খান, কারণ আপনি অন্যান্য খাবার খাওয়ার চেষ্টা করেন।",food,neutral
39,"যদি সব সেরা উষ্ণ Vibe হয়, মালিক সুপার বন্ধুত্বপূর্ণ এবং পরিষেবা দ্রুত হয়,।",service,positive
40,"মালিক সুপার বন্ধুত্বপূর্ণ এবং পরিষেবা দ্রুত হয়,যদি সব সেরা উষ্ণ Vibe হয়।",ambience,positive
41,এটির মান একটি যুগ্ম মান নয়।,price,negative
42,ফ্যান এর একটি মহান ধারণা পেয়েছিলাম কিন্তু ডেলিভারি উপর একটু রুক্ষ।,anecdotes/miscellaneous,positive
43,ফ্যান এর একটি মহান ধারণা পেয়েছিলাম কিন্তু ডেলিভারি উপর একটু রুক্ষ।,service,negative
44,"এই শহরতলির প্রতিবেশী স্পট একটি বীট মিস না,অবিশ্বাস্য খাদ্য থেকে, উষ্ণ বায়ুমণ্ডলে, বন্ধুত্বপূর্ণ পরিষেবাতে, ।",food,positive
45,"এই শহরতলির প্রতিবেশী স্পট একটি বীট মিস না,অবিশ্বাস্য খাদ্য থেকে, উষ্ণ বায়ুমণ্ডলে, বন্ধুত্বপূর্ণ পরিষেবাতে, ।",service,positive
46,"এই শহরতলির প্রতিবেশী স্পট একটি বীট মিস না,অবিশ্বাস্য খাদ্য থেকে, উষ্ণ বায়ুমণ্ডলে, বন্ধুত্বপূর্ণ পরিষেবাতে, ।",ambience,positive
47,"সন্ধ্যায় বীট করা যাবে না, যুক্তিসঙ্গত দামে গ্রেট খাদ্য।",food,positive
48,"সন্ধ্যায় বীট করা যাবে না, যুক্তিসঙ্গত দামে গ্রেট খাদ্য।",price,positive
49,"উন্মুখ প্রত্যাবর্তন উপর,Ruben এর চেষ্টা।",anecdotes/miscellaneous,positive
50,হাউজ স্ট্রিপ হাউস শুধুমাত্র অন্য স্টেকহাউজ যা রথের একটি মোমবাতি রাখা স্ট্রিপ।,anecdotes/miscellaneous,neutral
51,চার্ট হাউসে যাই আমরা সাধারণত জন্মদিন বা বার্ষিকী উদযাপন করতে।,anecdotes/miscellaneous,neutral
52,"সামান্য জায়গা  চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের শহরের দাম আছে, ",ambience,positive
53,"সামান্য জায়গা  চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের শহরের দাম আছে",price,positive
54,এটি আপনি পরিবেশন করবেন।,anecdotes/miscellaneous,positive
55,দুইটি শব্দ: ফ্রি এবং ওয়াইন।,price,positive
56,"যদিও সেবাটি দরিদ্র,মূল্য যুক্তিসংগত ।",service,negative
57,"যদিও সেবাটি দরিদ্র,মূল্য যুক্তিসংগত।",price,positive
58,"আপনাকে আনা হবে,পরিমাণ খুব ভাল, আপনি সন্তুষ্ট হবেন।",food,positive
59,আমি রথ এর দ্বিগুণ হয়েছি এবং উভয় বার খুব হতাশাজনক ছিলাম,anecdotes/miscellaneous,negative
60,"এটি মূল দোকান কারণ,প্রথম অ্যালবামটি দেখতে আসার জন্য।",anecdotes/miscellaneous,positive
61,"আমি দুই সেকেন্ডের এলএ থেকে শহরে দুই বন্ধু সঙ্গে ছিল যখন আমি এই দ্বিতীয় তলায় ওয়াচ আপ উপর হোঁচট খেয়েছি, সুশীল লোকেদের গুরুতর হচ্ছে, আমরা অ্যাকশন কাছাকাছি হতে সুশি বার এ বসে ছিল।",anecdotes/miscellaneous,neutral
62,"রাগ একটি রোমান্টিক, আরামদায়ক রেস্টুরেন্ট।",ambience,positive
63,এখানে ভাজা চাল আশ্চর্যজনক।,food,positive
64,"তিনটি কোর্স - পছন্দগুলি চমৎকার মিউসেলস, পেফ প্যাস্ট্রি ছাগল পনির এবং একটি সুস্বাদু ড্রেসিং সঙ্গে সালাদ, এবং এই বিশ্বের বাইরে একটি হ্যাঙ্গার স্টেক অই poivre অন্তর্ভুক্ত।",food,positive
65,"এটি একটি নিখুঁত জায়গা কারন, এখনে amanzing ভারতীয় খাবার আছে ।",food,positive
66,স্থানটি এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী।,service,positive
67,স্থানটি এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী।,ambience,positive
68,"শেষে আপনি নুডলসের সাথে একটি হালকা স্বাদ পারেন, সঙ্গে আপনি একটি কাপ আউট slurp পারেন।",food,positive
69,আমি শুধু আশ্চর্য হচ্ছি আপনি এইরকম সামান্য অর্থের জন্য কতটা সুস্বাদু খাবার খেতে পারেন।,price,positive
70,আমি শুধু আশ্চর্য হচ্ছি আপনি এইরকম সামান্য অর্থের জন্য কতটা সুস্বাদু খাবার খেতে পারেন।,food,positive
71,খাবার সুস্বাদু ছিল কিন্তু এটি খালি পেটে ভাল লাগে না।,food,conflict
72,চমৎকার ওয়াইন তালিকা ,food,positive
73,একটি টোস্টার মধ্যে তাদের মাপসই করা যাবে না যে garantuan  ,food,positive
74,"আমি  অনেক আগে ম্যানহাটানের থাই রেস্টুরেন্ট  করেছি, এবং Toons পর্যন্ত আমি পেয়েছিলাম সেরা থাই খাদ্য (আমার মায়ের অবশ্যই ছাড়া)।",food,positive
75,তারা আরেকটি উপহার দেওয়ার আগেও আমার গ্লাস ওয়াইনটি শেষ করতে দেবে না।,service,positive
76,আমি অত্যন্ত সোফিয়া পিজা সুপারিশ।,anecdotes/miscellaneous,positive
77,"জিজ্ঞাসা করা হলে, আমরা আরও বিস্তারিত প্রশ্ন জিজ্ঞাসা করতে হবে যাতে আমরা বিশেষ কি ছিল তা জানতাম।",service,negative
78,একটি ক্রমবর্ধমান ভাল জায়গা লঞ্চ বা ডিনার জন্য খাওয়া ।,anecdotes/miscellaneous,positive
79,"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।",food,positive
80,"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।",service,positive
81,"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।",ambience,positive
82,এখানে যে সমস্ত লোক আমি নিয়ে আসি তাদের নিজেদের উপর ফিরে যাও এবং তাদের বন্ধুদের নিয়ে আস!,anecdotes/miscellaneous,positive
83,"সত্যিই বার সময়ে নিজেদেরকে উপভোগ করার পরে, আমরা একটি টেবিলের উপর বসে ডিনারে ছিলাম।",anecdotes/miscellaneous,positive
84,"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।",food,positive
85,"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।",service,positive
86,"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।",ambience,positive
87,আমি শুনতে চাই না।,anecdotes/miscellaneous,negative
88,Lasagnette অ্যাচিচ্চারের চেষ্টা করুন।,food,positive
89,"মূল্যবান, কিন্তু একবার চেষ্টা একবার মূল্য, অন্তত একবার",price,negative
90,"মূল্যবান, কিন্তু একবার চেষ্টা একবার মূল্য, অন্তত একবার",anecdotes/miscellaneous,positive
91,"আমি সেখানে কয়েক বার গিয়েছি, এবং আমি সাধারণত কিছু চমত্কার অদ্ভুত মানুষ পাশে বসতে শেষ।",anecdotes/miscellaneous,negative
92,আমি বিয়ার নির্বাচন পছন্দ করি!,food,positive
93,"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।",food,positive
94,"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।",service,positive
95,"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।",ambience,positive
96,"এটি সব বাহক ডাইনিং অভিজ্ঞতা জন্য না,এটি একটি রোমান্টিক ডিনার জন্য।",anecdotes/miscellaneous,conflict
97,ফিরে যেতে অপেক্ষা নাকিসুরে .,anecdotes/miscellaneous,positive
98,এনওয়াই একটি জায়গা খুঁজে পেতে আমি উত্সাহিত Dosa খাওয়া ও স্বাদ কুঁচন করতে।,anecdotes/miscellaneous,neutral
99,ওয়াইন তালিকা নির্বাচন ভাল এবং ওয়াইন দ্বারা দ্য গ্লাস উদারভাবে শীর্ষে উদিত ছিল।,food,positive
100,"আমি প্রায়ই এখানে খাওয়া খতে বিরক্ত করতাম না,কারণ মেনুতে প্রচুর বৈচিত্র্যেময় থাকে।",food,positive
101,মেনু খুব সীমিত - আমি মনে করি আমরা 4 বা 5 এনট্রিস গণনা করি।,food,negative
102,"আপনি আগের চেয়ে বেশি সন্তুষ্ট থাকবেন,আপনি যদি একজন মৃগীরোগী ও ক্ষুধার্ত হন।",anecdotes/miscellaneous,positive
103,প্রায় সব থালাগুলি চমৎকার হয় কারণ মেনু সীমাবদ্ধ।,food,conflict
104,"খুব পাগল না,তাদের মেটা মার্টিনি সম্পর্কে ।",food,negative
105,"গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা মধ্যে থাকা আউট",food,positive
106,"গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা মধ্যে থাকা আউট",anecdotes/miscellaneous,positive
107,"সেবা দিন দিন থেকে পরিবর্তিত হয়- কখনও কখনও তারা খুব সুন্দর, এবং কখনও কখনও খুব সুন্দর না।",service,conflict
108,জাজ জোড়া  পয়েন্ট ছিল।,ambience,positive
109,"আমি এই পছন্দের জায়গা সম্পর্কে জানি, OT আসন্ন গেস্ট ছেড়ে দিতে,এই জিনিস আমার টেবিলে চাপা বা চাপ অনুভূত যেন না হয়।",service,positive
110,কটি মহান চুক্তি হয় এই জায়গার।,price,positive
111,আমরা দুর্ভাগ্যবশত ফলাফল এই জায়গা উপর ঘটেছে যা সন্তুষ্ট ছিল।,anecdotes/miscellaneous,positive
112,"এই রেস্টুরেন্ট সম্পর্কে অন্য সবকিছু পিট হয়,দুর্ভাগ্যবশত, খাদ্য অসামান্য।",food,positive
113,"এই রেস্টুরেন্ট সম্পর্কে অন্য সবকিছু পিট হয়,দুর্ভাগ্যবশত, খাদ্য অসামান্য।",anecdotes/miscellaneous,negative
114,ডাফ পুনর্বিবেচনার Bukhara তারা দুটি নতুন জায়গা খোলা অনুমান মন্দ তাদের চেষ্টা আউট।,anecdotes/miscellaneous,positive
115,আমার সবসময় একটি সুস্বাদু খাবার আছে যা সবসময় সন্তুষ্ট অনুভূতি ছড়ায়,food,positive
116,আপনার চারপাশে ঘূর্ণায়মান চপস্টিক্স উপাদানগুলি ডুবান ও খাওয়ান।,food,neutral
117, ঐখানে গিয়েছিলাম প্রথেম তাদের বাগান ছাদ ভোগ করার জন্য।,ambience,positive
118,আমার কাজ ভাল  এবং শুষ্ক আমার  স্বামী নিখুঁত ছিল।,food,conflict
119,আমি কথা বলেছি  যেহেতু সবাই  অতিরিক্ত মাইল পারি দিতে ইচ্ছুক একটি বন্ধু যেহেতু অতিরিক্ত বন্ধুত্বপূর্ণ এবং সহায়ক।,service,positive
120,পিজা বেশ বিশাল এবং সুন্দর ছিল।   ,food,positive
121,নীলকান্তমণি একমাত্র ভারতীয় রেস্টুরেন্ট যেখানে আমি এনওয়াইসিতে আছি।,anecdotes/miscellaneous,positive
122,"যদিও এটি তাইওয়ের মধ্যে অভ্যস্ত করা থেকে ভিন্ন, আমি সংগৃহীত যা থেকে রন্ধনপ্রণালী খাঁটি তাইওয়ানি হয়।",food,neutral
123,আমার আন্তরিকভাবে সুপারিশ।,anecdotes/miscellaneous,positive
124,"একে শ্রেষ্ঠ জায়গা ধরা দ্বারা হয়, হার্টল্যান্ড ব্রয়াসসজ্জা NYC নতুন বন্ধুদের তৈরি।",anecdotes/miscellaneous,positive
125,এটি খুব ঘৃণা আমি প্রায় একটি পর্যালোচনা লিখতে দ্বিধাবিভক্ত কারণ বায়ুমণ্ডল মহান ছিল।,ambience,positive
126,তারা প্রায়ই সপ্তাহান্তে ভিড় করে কিন্তু যাতে তাদের সেবা দক্ষ এবং সঠিক হয়।,service,positive
127,তারা প্রায়ই সপ্তাহান্তে ভিড় করে কিন্তু যাতে তাদের সেবা দক্ষ এবং সঠিক হয়।,ambience,negative
128,"ডিশ কিভাবে ছোট, ছিল আমার সমস্ত সহকর্মী বিস্মিত ছিল   ",food,negative
129,"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।",food,positive
130,"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।",service,positive
131,"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।",ambience,positive
132,আমরা এটি বিশেষ আদেশ  গ্রিলটি branzino খাওয়া কঠিন যেহেতু হাড়ের সঙ্গে infused .,food,negative
133,"অপেক্ষা কর্মীরা বন্ধুত্বপূর্ণ,  খাদ্য ভাল  অর্জিত হয়েছে!",food,positive
134,"অপেক্ষা কর্মীরা বন্ধুত্বপূর্ণ,  খাদ্য ভাল  অর্জিত হয়েছে!",service,positive
135,এই জায়গা কয়েক মাস বয়সী সম্ভবত কুইন্স এর সবচেয়ে বড় রহস্য ,anecdotes/miscellaneous,positive
136,Vibe ভাল এটি আপনি এলাকায় খুঁজে পাবেন সেরা ফরাসি খাবার এটি সপ্তাহান্তে একটি বিট বস্তাবন্দী।,food,positive
137,Vibe ভাল এটি আপনি এলাকায় খুঁজে পাবেন সেরা ফরাসি খাবারএটি সপ্তাহান্তে একটি বিট বস্তাবন্দী,ambience,conflict
138,এই জায়গাটি অনেক মজার ।,anecdotes/miscellaneous,positive
139,আমি কি আনন্দিত ছিলাম।,anecdotes/miscellaneous,positive
140,ব্রুকলিন একটি সুন্দর আরামদায়ক জায়গা বন্ধ ডান দিকে এটি ভাল পিজা আছে ।,food,positive
141,ব্রুকলিন একটি সুন্দর আরামদায়ক জায়গা বন্ধ ডান দিকে এটি ভাল পিজা আছে ।,ambience,positive
142,কখনো আমি  এত অমনোযোগী আচরণ করি নি।,service,negative
143, শীঘ্রই আমি ফিরে আসব.,anecdotes/miscellaneous,positive
144,অসামান্য লে থার পিনার্ড একটি $ 15 প্রাক থিয়েটার মেনু,food,positive
145,ভিতরে গিয়ে আমি উত্তেজিত হয়েছি।,anecdotes/miscellaneous,positive
146,আমার ডেলিভারির জন্য রেস্টুরেন্ট অর্ধেক অর্ডার ভুলে যায়,service,negative
147,"আমাদের উপর চেক করা হয়,কারণ আমাদের সার্ভার পুরো খাবার সময় দুবার",service,negative
148,"যাইহোক, এটি প্রশংসার না শুধুমাত্র খুব ভাল।",anecdotes/miscellaneous,positive
149,ভাল কারণে আমরা Montparnasse অনেক বার হয়েছি,anecdotes/miscellaneous,positive
150,"আমি নেতিবাচক  স্বাদ কুঁড়ি প্রভাবিত, বাম এবং ডান থেকে আসছে শক্তিশালী scents  ।",anecdotes/miscellaneous,negative
151,আমরা এটি  অদ্ভুত লবস্টার স্যান্ডউইচ ছিল,food,positive
152,এটা কোথায় আপনি খেতে এবং সুখী হতে পারেন।,anecdotes/miscellaneous,positive
153,"যদি আপনি একটি খারাপ পর্যালোচনা লিখে থাকেন, কারণ আপনি রাও এর সব কি জানেন না।",anecdotes/miscellaneous,positive
154,"আমরা যদি থামিয়ে দিতাম তবে বুঝতে পারতাম যে তারা কোথা থেকে আসছে, কিন্তু আমরা সেখানে এক ঘণ্টারও কম সময় কাটিয়েছি এবং তারা আমাদের কাছে এখনো একটি চেকও নিয়ে আসেনি!",service,negative
155, সামগ্রিকভাবে আমি কিন্তু এটি 10 ​​দিতে পারি,anecdotes/miscellaneous,positive
156," আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন, যদিও মাকড়সা রোলটি খেতে একটি চ্যালেঞ্জের মতো হতে পারে, তবে নরম শেলের কাঁকড়াটি রোলটি দিয়ে ঝুলিয়ে রাখলেও।",food,positive
157,"আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন, যদিও মাকড়সা রোলটি খেতে একটি চ্যালেঞ্জের মতো হতে পারে, তবে নরম শেলের কাঁকড়াটি রোলটি দিয়ে ঝুলিয়ে রাখলেও।",price,positive
158,গভীর ভাজা skewers ভাল এবং এখনও এনওয়াইসি খুঁজে পাওয়া বিরল।,food,positive
159,"আমি রিজার্ভেশন করার চেষ্টা করেছি, কিন্তু উভয়ই সময়, হোস্টেলে আমার নাম ছিল না।",service,negative
160,আমি চাল বাদাম বা কংগী বিভিন্ন ধরনের (চাল পোড়) সুপারিশ করি।,food,positive
161,তাদের টুনা টিটার অ্যাচিটাইজারের জন্য মরতে হয়।,food,positive
162,এই সেরা রেস্টুরেন্ট আমি কখনও হয়েছি,anecdotes/miscellaneous,positive
163,এই রেস্টুরেন্ট বেশ সুন্দর হতে ব্যবহৃত।,anecdotes/miscellaneous,negative
164,"পরিমার্জিত একটি oasis: খাদ্য, যদিও কিছুটা অসম, প্রায়ই নতুন আমেরিকান সূক্ষ্ম রন্ধনপ্রণালী pinnacles পৌঁছে - শেফ এর আবেগ (এবং রান্নাঘর এর সুনির্দিষ্ট মৃত্যুদন্ড) মাছের থালা এবং স্যুপ সবচেয়ে স্পষ্ট হয়।",food,positive
165,"যদি আপনি ওয়াইন এবং পনির এবং স্বাদ ফরাসি ফরাসি ভাড়া চান, আপনি শিল্পীকে ভালোবাসবেন!",food,positive
166,আমি ভারতীয় খাবার পছন্দ করি এবং নিজেকে নিজেকে একজন বিশেষজ্ঞ বলে বিবেচনা করি।,food,positive
167,কিছু শিশুর ইচ্ছা করে তাদের পিজা পেতে,food,neutral
168,আপনার নিজস্ব পছন্দ প্রচুর সৃষ্টি করতে ।,food,positive
169,"এটা ক্ষুদ্র ছিল, এবং আমি অনুভব করলাম যে আমি কারো জীবিত রুম এ খাচ্ছি।",ambience,negative
170,আমি সেখানে বসে ছিলাম,anecdotes/miscellaneous,neutral
171,"এটি অপেক্ষা করছে এটি অসামঞ্জস্যপূর্ণ,সামগ্রিকভাবে একটি ওহ ",anecdotes/miscellaneous,positive
172,এটি অপেক্ষা করছে এটি অসামঞ্জস্যপূর্ণ সামগ্রিকভাবে একটি ওহ ,service,negative
173,আমি সুপারিশ করবো লাভা পিষ্টক ডেজার্ট অবিশ্বাস্য ছিল ,food,positive
174,"তখনই শিশুর পিজা আশা করা হয়,যখন ভিটিটি  বেড়ে ওঠে ।",anecdotes/miscellaneous,positive
175,"অনাবিষ্কৃত ম্যানেজারদের উল্লেখ না করে, সামগ্রিক অভিজ্ঞতা ভয়ানক ছিল ভয়ানক পরিষেবা ও  নমনীয় খাদ্য থেকে",food,negative
176,"অনাবিষ্কৃত ম্যানেজারদের উল্লেখ না করে, সামগ্রিক অভিজ্ঞতা ভয়ানক ছিল ভয়ানক পরিষেবা ও  নমনীয় খাদ্য থেকে",service,negative
177,লাহোর দেরী-রাতে যখন আপনি সস্তা উপর কিছু সত্যিই সুস্বাদু খাবার প্রয়োজন মধ্যে হাঁসের একটি ভাল জায়গা - আপনি সম্ভবত আপনি চার ডেলরার জন্য পেতে খাদ্য পরিমাণের সমাপ্তি সমস্যা হবে।,food,positive
178,লাহোর দেরী-রাতে যখন আপনি সস্তা উপর কিছু সত্যিই সুস্বাদু খাবার প্রয়োজন মধ্যে হাঁসের একটি ভাল জায়গা - আপনি সম্ভবত আপনি চার ডেলরার জন্য পেতে খাদ্য পরিমাণের সমাপ্তি সমস্যা হবে।,price,positive
179,শেষবার যখন আমি গিয়েছিলাম তখন আমরা রান্নাঘরের পাশে একটি করিডোরের টেবিলে বসে ছিলাম।,anecdotes/miscellaneous,negative
180,উচ্চ শেষ পর্যন্ত wines ভাল নির্বাচন সাশ্রয়ী মূল্যের থেকে ,food,positive
181,উচ্চ শেষ পর্যন্ত wines ভাল নির্বাচন সাশ্রয়ী মূল্যের থেকে ,price,conflict
182,ক্লাসিক চমৎকার রেস্টুরেন্ট upscale ইতালীয় সামগ্রিক সজ্জা  ,ambience,positive
183,ছাপানো খাদ্য সঙ্গে  না,food,negative
184,পুরো ডাইনিংয়ের অভিজ্ঞতা চমৎকার ছিল!,anecdotes/miscellaneous,positive
185,ওয়াইন নির্বাচন (গ্লাস এবং বোতল দ্বারা) চমৎকার এবং বন্ধু একটি রিজার্ভেশন সুপারিশ আমি সবসময় তার শহর হতে যাচ্ছি।,food,positive
186,ওয়াইন নির্বাচন (গ্লাস এবং বোতল দ্বারা) চমৎকার এবং বন্ধু একটি রিজার্ভেশন সুপারিশ আমি সবসময় তার শহর হতে যাচ্ছি।,anecdotes/miscellaneous,positive
187,সেবা অত্যন্ত পরিশ্রুত: আমাদের সভাগৃহা আমাদের রিজার্ভেশন গত 35 মিনিট বিলম্বিত এবং maitre d 'ক্ষমা ও নিয়মিত আমাদের অগ্রগতি সম্পর্কে সচেতন রাখে।,service,positive
188,"প্যানং হাঁস অর্ডার, এটা চমত্কার।",food,positive
189,"তবুও খাদ্য ভাল,যদিও মাঝে মাঝে আমি পার্শ্ব অর্ডারগুলিতে কাঁচামালের তাজা উদ্দীপনা সম্পর্কে উদ্বিগ্ন,",food,conflict
190, এটা মহান দুই ব্যক্তির থেকে crappy সেবা ,service,conflict
191,আরো কি আপনার জন্য অনুরোধ করতে পারেন?,anecdotes/miscellaneous,positive
192,আমরা একটি লাইন এই লাইন একটি বিশেষ সংস্থার জন্য অপেক্ষা গঠিত হয়েছিল লক্ষ্য যে সবচেয়ে ভাল ডিলার,anecdotes/miscellaneous,neutral
193,"ভারতীয় আছে,তারা আমাজনের দামে খাঁটি ।",food,positive
194,"ভারতীয় আছে,তারা আমাজনের দামে খাঁটি ।",price,positive
195,আপনি শুধু রয়্যালটি মত আচরণ করেন।,service,positive
196,"6 (বা আরও) চমৎকার এবং শান্ত,  কিন্তু ছোট",ambience,conflict
197,Ambiance- আরামপ্রদ এবং আড়ম্বরপূর্ণ,ambience,positive
198,আমি গত মাসে জিমির ব্রঙ্কস ক্যাফের চেয়ে বেশি আবেগপ্রবণ বোধ করিনি।,anecdotes/miscellaneous,negative
