Text,Polarity
সমারসেটের ডিজিটাল মার্কেটিং নির্বাহী কর্মকর্তা বেন ওয়ারেন দ্রুত পদক্ষেপ নিয়েছেন,positive
পরবর্তী ম্যাচের আগেই সাইটের সার্ভারের ধারণক্ষমতা বাড়িয়ে দিয়েছেন,positive
এবার আর দেখতে অসুবিধা হয়নি,positive
বাবর আজমও তাদের হতাশ করেননি,positive
সাসেক্সের বিপক্ষে ৮৩ রান করেছেন,positive
যদিও সমারসেট ম্যাচটি হেরে যায়,negative
 বাবর তো ভালো খেলেছেন,positive
ইউটিউবে এর মধ্যেই ম্যাচটা ১৫ লাখের বেশিবার দেখা হয়ে গেছে,positive
"এর মধ্যে শোনা যাচ্ছে, সরফরাজ আহমেদকে সরিয়ে প্রতিভাধর এই ব্যাটসম্যানকে পাকিস্তানের অধিনায়ক হিসেবে নিয়োগ দেওয়া হতে পারে",negative
সদ্য সাবেক হওয়া পাকিস্তানি কোচ মিকি আর্থার বাবর আজমকে নতুন অধিনায়ক হিসেবে চেয়েছিলেন,positive
"তবে বাবর আজম জানিয়ে দিয়েছেন, তিনি অধিনায়ক হওয়ার জন্য আগ্রহী নন",negative
নায় এমন সাতটি জোন রয়েছে,positive
মোয়াল্লেমকে অতিরিক্ত অর্থ দিলে জামারাতের (শয়তানকে পাথর মারার স্থান) কাছে তাঁবু পাওয়া যায়,negative
অতিরিক্ত টাকা দিলে মোয়াল্লেমরা জামারাতের কাছে তাঁবুতে হাজিদের থাকার ব্যবস্থা করেন,negative
"যাঁরা বাড়তি অর্থ দেন না, তাঁদের তাঁবু হয় দূরে",negative
"হজের সময় মিনার সব রাস্তায় যানবাহন চলাচল বন্ধ থাকায় জামারাত থেকে দূরে তাঁবু পাওয়া হাজিরা, বিশেষ করে যাঁরা বৃদ্ধ ও শারীরিকভাবে দুর্বল, তাঁরা অসুবিধায় পড়েন",negative
"কারণ, তাঁদের দীর্ঘ পথ হাঁটতে হয়",negative
 হাঁটার সময় কেউ কেউ পথও হারিয়ে ফেলেন,negative
এ ছাড়া তাঁবুগুলো দেখতে এক রকম হওয়ায় এবং এগুলোয় আরবিতে নম্বর যুক্ত থাকায় অনেকে নিজ তাঁবু চিনতে সমস্যায় পড়েন,negative
তবে মিনার মানচিত্র সঙ্গে থাকলে হারানোর ভয় নেই,positive
মিনার কিছু অবস্থান চিনে নিজের মতো করে আয়ত্তে আনলে এখানে চলাচল করা সহজ হয়,positive
এখানে সাতটি জোন রয়েছে,positive
মিনার বড় রাস্তাগুলোর ভিন্ন ভিন্ন নাম ও নম্বর রয়েছে,positive
রাস্তার নাম ও নম্বর জানা থাকলে মিনায় চলাচল সহজ হয়,positive
পথ হারানোর সুযোগ কম থাকে,positive
"মোয়াল্লেম দপ্তর সূত্র জানায়, জামারাতের কাছে মোয়াল্লেম নম্বর ৭ ও ৮-এর অধীনে থাকবেন বাংলাদেশ থেকে সরকারি ব্যবস্থাপনায় আসা হাজিরা",positive
মিনায় হাজিদের সহায়তার জন্য ২৪/৬২ নম্বর তাঁবুতে পাঁচ দিন বাংলাদেশ হজ কার্যালয়ের কার্যক্রম চালানো হবে,positive
এক বছর হয়ে গেল নির্বাচনের জয়ের পর পাকিস্তানের প্রধানমন্ত্রী হয়েছেন ইমরান খান,positive
এরপর থেকে থাকেন প্রধানমন্ত্রীর বাসভবনে,positive
৩ আগস্ট দেশটির রাজধানী ইসলামাবাদে প্রধানমন্ত্রীর বাসভবনে বিয়ের অনুষ্ঠানেরও আয়োজন করা হয়েছে,positive
আর তা নিয়ে চলছে সমালোচনা,negative
ব্রিগেডিয়ার ওয়াসিম ইফতেখার চিমার মেয়ে আনাম ওয়াসিমের বিয়ের অনুষ্ঠান হয়েছে ৩ আগস্ট,positive
ইমরান খানও বিয়ের অনুষ্ঠানে ছিলেন,positive
প্রধানমন্ত্রীর বাসভবনের আলাদা একটা গুরুত্ব রয়েছে,positive
সেই বাসভবনে সম্প্রতি এক ব্রিগেডিয়ারের মেয়ের বিয়ের অনুষ্ঠান হয়েছে,positive
আর সেই বিয়ের অনুষ্ঠান ঘিরে নানা প্রশ্ন উঠতে শুরু করেছে,negative
সবাই উপস্থিত সেই বিয়েতে,positive
প্রধানমন্ত্রীর বাসভবন হওয়ায় কদর কয়েক গুণ বেড়েছে ওই বিয়েবাড়ির।,positive
জৌলুশপূর্ণ বিয়েতে লাখ লাখ রুপি ব্যয় করা হয়েছে,positive
"বিয়েবাড়ির আসর যে প্রধানমন্ত্রীর বাসভবনে হবে, এ জন্য আমন্ত্রিত ব্যক্তিদের ছাপা কার্ড দিয়ে দাওয়াত দেওয়া হয়েছে",positive
সেই কার্ড ও বিয়ের ছবি ফেসবুক ও টুইটারে ভাইরাল,negative
বিয়ের ছবিতে পাকিস্তানের প্রধানমন্ত্রী ইমরান খানকেও খোশমেজাজে দেখা গেছে,positive
"প্রধানমন্ত্রীর পদে দায়িত্ব নেওয়ার পর ইমরান খান জানিয়েছিলেন, প্রধানমন্ত্রীর বাসভবনে তিনি একটি লাইব্রেরি খুলতে চান",positive
বে আপাতত সেই আশা বোধ হয় আর নাই,negative
"কারণ, বছর পেরিয়ে গেলেও লাইব্রেরি বানানোর উদ্যোগ না থাকলেও বিয়ের অনুষ্ঠান ঠিকই হচ্ছে",negative
"একসময় নৈসর্গিক শোভার জন্য যে স্থানটি বিখ্যাত ছিল,সেই কাশ্মীর উপত্যকা এখন ভারত ও পাকিস্তানের জন্য প্রক্সি যুদ্ধক্ষেত্রে পরিণত হয়েছে",negative
এই সপ্তাহে ভারতের ক্ষমতাসীন দল ভারতীয় জনতা পার্টি (বিজেপি) দেশটির সংবিধানের ৩৭০ অনুচ্ছেদ বাতিল করেছে,negative
যা একসময় মুসলিম অধ্যুষিত ভারতনিয়ন্ত্রিত কাশ্মীরকে বিশেষ মর্যাদা দিয়েছিল,positive
দিয়েছিল স্বশাসনের অধিকার,positive
সংবিধানের ৩৭০ অনুচ্ছেদ বাতিল করেই ক্ষান্ত হয়নি বিজেপি সরকার,negative
জম্মু–কাশ্মীর ও লাদাখকে কেন্দ্রশাসিত অঞ্চলে পরিণত করার জন্য লোকসভায় একটি বিলও উত্থাপন করেছে,positive
"যেহেতু লোকসভায় বিজেপির সংখ্যাগরিষ্ঠতা রয়েছে, তাই বিলটি সহজেই পাস হবে বলে ধারণা করা হচ্ছে",positive
বিলটি ইতিমধ্যে রাজ্যসভায় পাস হয়েছে,positive
লাইসেন্স না থাকায় তারা আর কার্যক্রম চালাতে পারবে না বলে জানিয়েছে সংস্থাটি,negative
"বিটিআরসি বলছে, এসব প্রতিষ্ঠান বকেয়া পাওনা পরিশোধ করেনি",negative
থাসময়ে নবায়নের আবেদন করেনি,negative
এ কারণে তাদের লাইসেন্স বাতিল করা হয়েছে,negative
আজ বুধবার বিটিআরসি এক বিজ্ঞপ্তিতে এ কথা জানায়,positive
"এতে বলা হয়, বিজ্ঞপ্তি প্রকাশের এক মাসের মধ্যে সরকারের সব বকেয়া পাওনা পরিশোধ না করলে প্রতিষ্ঠানগুলোর বিরুদ্ধে মামলা দায়েরসহ প্রয়োজনীয় আইনি ব্যবস্থা নেওয়া হবে",negative
১২৪ টির প্রতিষ্ঠানের মধ্যে ১০৬টি প্রতিষ্ঠান সরকারের বকেয়া পাওনা পরিশোধ ও যথাসময়ে নবায়ন আবেদন করেনি,negative
১৮টি প্রতিষ্ঠান যথাযথভাবে আবেদন করেনি,negative
দক্ষিণ আফ্রিকা দলের সাবেক ক্রিকেট কোচ রাসেল ক্রেইগ ডমিঙ্গো ঢাকায়,positive
বিসিবিতে কোচের চাকরির সাক্ষাৎকার দিতে আজ সকাল ১০টায় ঢাকায় পৌঁছেছেন তিনি,positive
আগামীকাল সকালে তাঁর ঢাকা ত্যাগ করার কথা,negative
রাসেল ক্রেইগ ডমিঙ্গো ২০১২ সালের ডিসেম্বর থেকে ২০১৩ সালের আগস্ট পর্যন্ত দক্ষিণ আফ্রিকা টি-টোয়েন্টি দলের কোচের দায়িত্ব পালন করেন,positive
"বিসিবি জাতীয় দলের জন্য প্রধান কোচ খুঁজলেও ডমিঙ্গো কোন পদের জন্য সাক্ষাৎকার দেবেন, সেটি অবশ্য স্পষ্ট জানা যায়নি",negative
আজ সকালে তাঁর ঢাকায় আসার বিষয়টি নিশ্চিত করলেও বিসিবির প্রধান নির্বাহী কর্মকর্তা নিজাম উদ্দিন চৌধুরী এ ব্যাপারে আর কিছু বলতে রাজি হননি,negative
"তবে বোর্ডের একটি সূত্র জানিয়েছে, ডমিঙ্গো যদি অন্যান্য বিদেশি কোচের মতো খণ্ডকালীন চাকরির শর্ত না দেন, তাহলে তাঁকেও জাতীয় দলের প্রধান কোচ হিসেবে রেখে দেওয়া হতে পারে",positive
দক্ষিণ আফ্রিকা দলের সঙ্গে এর আগেও বাংলাদেশ সফর করে গেছেন তিনি,positive
তরুণীকে গণধর্ষণের দায়ে ৩ যুবকের যাবজ্জীবন,negative
ভোলায় এক তরুণীকে (১৮) গণধর্ষণের দায়ে তিন যুবককে যাবজ্জীবন সশ্রম কারাদণ্ড দিয়েছেন আদালত,negative
"পাশাপাশি প্রত্যেককে ১ লাখ টাকা অর্থদণ্ড, অনাদায়ে আরও এক বছর সশ্রম কারাদণ্ড দেওয়া হয়েছে",negative
জেলার নারী ও শিশু নির্যাতন দমন ট্রাইব্যুনালের বিচারক আতোয়ার রহমান আসামিদের উপস্থিতিতে বুধবার দুপুরে এই রায় দেন,positive
ভোলার নারী ও শিশু নির্যাতন দমন ট্রাইব্যুনালের সরকারি কৌঁসুলি (পিপি) গোলাম মোর্শেদ তালুকদার রায়ের বিষয়টি নিশ্চিত করেছেন,positive
"তিনি বলেন, মামলার এজাহারভুক্ত অপর দুই আসামির বিরুদ্ধে অভিযোগ প্রমাণিত না হওয়ায় তাঁদের খালাস দেওয়া হয়েছে",positive
"আদালত সূত্রে জানা গেছে, ২০১১ সালের ১ জুলাই ভোলা সদর উপজেলায় ওই তরুণী নানার বাড়ি যাচ্ছিলেন",positive
পথে একা পেয়ে ওই তিন যুবক তাঁকে ধরে পাশের একটি ঘরে নিয়ে যান,negative
সেখানে আটকে রেখে তিন যুবক রাতভর ওই তরুণীকে ধর্ষণ করেন,negative
পরদিন সকালে ধর্ষণের শিকার ওই তরুণী পাশের এক বাড়িতে আশ্রয় নেন,positive
খবর পেয়ে ওই যুবকেরা ওই বাড়ি থেকে মেয়েটিকে হুমকি দিয়ে বের করে দেন,negative
পরে বিষয়টি জানাজানি হলে ওই যুবকেরা সালিসের নামে ঘটনাটি ধামাচাপা দেওয়ার চেষ্টা চালান,negative
পরে ওই তরুণী বাদী হয়ে পাঁচজনকে আসামি করে আদালতে মামলা করেন,negative
এরপর পুলিশ মামলাটি তদন্ত করে আদালতে অভিযোগপত্র দেয়,positive
টেস্ট ম্যাচের ৫ দিনই ব্যাটিং করার স্বাদ খুব বেশি জনের কপালে জোটেনি,negative
তাতে মাত্র ১০ জন কোনো এক টেস্ট ম্যাচের ৫ দিনই কোনো না কোনো সময়ের জন্য হলেও ব্যাটিং করেছেন,positive
ভুল বুঝবেন না,positive
টেস্ট ক্রিকেটে তাঁর আগে মাত্র ৯ জনের এমন অভিজ্ঞতা হয়েছিল,positive
"মজার ব্যাপার হলো, এর তিনবারই ঘটনাটি ঘটেছে কলকাতায়",positive
ঈদের দিন বৃষ্টির সম্ভাবনা,negative
তবে ঈদের আগে প্রকৃতির মেজাজ কিছুটা বিগড়ে রয়েছে,negative
টানা না হলেও দেশের কোথাও কোথাও অল্প সময়ের জন্য ভারী বৃষ্টি হয়েছে,negative
"আবহাওয়া অধিদপ্তর থেকে জানা গেছে, বঙ্গোপসাগরে নিম্নচাপ সৃষ্টি হয়েছে",negative
এই নিম্নচাপের প্রভাবে সাগর উত্তাল রয়েছে,negative
"এ কারণে প্রচুর মেঘমালা সৃষ্টি হচ্ছে, ঝরছে বৃষ্টি",negative
এমন আবহাওয়া আরও এক সপ্তাহের মতো থাকতে পারে,negative
সে রকম হলে ঈদের দিনও বৃষ্টি হতে পারে বলে জানিয়েছেন আবহাওয়াবিদেরা,negative
আজ বিকেলের পর ওডিশা পেরিয়ে যাবে,positive
"তবে এর প্রভাবে আজ ও আগামীকাল বৃহস্পতিবার খুলনা, বরিশালের উপকূলীয় অঞ্চলে বৃষ্টি হবে",negative
শুক্রবার বৃষ্টির মাত্রা কমে এলেও শনিবার থেকে মঙ্গলবার পর্যন্ত দেশের বিভিন্ন স্থানে হালকা থেকে মাঝারি মাত্রার বৃষ্টির সম্ভাবনা রয়েছে,negative
"এদিকে আজ দুপুরে আবহাওয়া অধিদপ্তরের বিশেষ বুলেটিনে জানানো হয়, নিম্নচাপের প্রভাবে দেশের উপকূলীয় এলাকার ওপর দিয়ে ঝোড়ো হাওয়া বয়ে যেতে পারে",negative
 আশপাশের দূরবর্তী দ্বীপ ও চরগুলোর নিম্নাঞ্চল স্বাভাবিক জোয়ারের চেয়ে ১ থেকে ২ ফুট উঁচু জলোচ্ছ্বাসে ডুবে যেতে পারে,negative
এ জন্য উত্তর বঙ্গোপসাগরে অবস্থানরত মাছ ধরার নৌযানগুলোকে পরবর্তী নির্দেশ না দেওয়া পর্যন্ত উপকূলের কাছাকাছি সাবধানে চলাচল করতে বলা হয়েছে,negative
ডেঙ্গু পরিস্থিতি অত্যন্ত সংকটাপন্ন,negative
"যদি কোরবানির বর্জ্য, পানি, রক্ত ইত্যাদি অপসারণ না করা হয়, তাহলে পরিস্থিতি আরও ভয়াবহ আকার ধারণ করতে পারে",negative
ডিএসসিসির প্রেস বিজ্ঞপ্তিতে এসব কথা বলা হয়েছে,positive
"প্রেস বিজ্ঞপ্তিতে বলা হয়েছে, পবিত্র ঈদুল আজহায় কোরবানির পশুর বর্জ্য ২৪ ঘণ্টার মধ্যে অপসারণের প্রতিশ্রুতি দেন ডিএসসিসি মেয়র সাঈদ খোকন",positive
"পরিচ্ছন্নতাকর্মীদের উদ্দেশে মেয়র সাঈদ বলেন, ‘গত বছরের ঈদে আমরা ২৪ ঘণ্টায় কোরবানির বর্জ্য অপসারণে সফল হয়েছিলাম",positive
এ সময় পরিচ্ছন্নতাকর্মীরা হাত তুলে সম্মতি জানান,positive
তাঁদের ২৪ ঘণ্টার মধ্যে বর্জ্য অপসারণের নির্দেশ দেন,positive
আমরা এবারও প্রতিশ্রুতি দিচ্ছি ২৪ ঘণ্টার মধ্যেই কোরবানির পশুর বর্জ্য অপসারণ করব,positive
ঈদের দিন নামাজের পর সবচেয়ে বেশি পশু কোরবানি হয়,positive
ঈদের পরদিন ও তৃতীয় দিন কিছুসংখ্যক পশু কোরবানি হয়,positive
প্রতিটি ওয়ার্ডে কমপক্ষে পাঁচটি স্থানে পশু কোরবানির নির্ধারিত স্থান রয়েছে,positive
ডিএসসিসির এলাকায় সর্বমোট ৩৩৯টি স্থান পশু কোরবানি দেওয়ার জন্য নির্ধারণ করে দেওয়া হয়েছে,positive
"সেখানে প্যান্ডেল, পানি, ইমামসহ যাবতীয় ব্যবস্থা রাখা হবে",positive
আপনারা অনুগ্রহ করে সেখানে পশু কোরবানি করবেন,positive
এ ছাড়া সিটি করপোরেশনের পক্ষ থেকে সবাইকে বড় ব্যাগ দেওয়া হবে,positive
আমাদের পরিচ্ছন্নতাকর্মীরা বর্জ্য সংগ্রহ করে নিয়ে আসবেন,positive
পশুর রক্ত পানি দিয়ে ধুয়ে সেখানে ব্লিচিং পাউডার ছিটিয়ে দিতে হবে,positive
"ঢাকা দক্ষিণ সিটি করপোরেশনের মেয়র বলেন, বর্তমানে ডেঙ্গু পরিস্থিতি অত্যন্ত সংকটাপন্ন",negative
" যদি কোরবানির বর্জ্য, পানি, রক্ত ইত্যাদি অপসারণ না করা হয় তাহলে পরিস্থিতি আরও ভয়াবহ আকার ধারণ করতে পারে",negative
কারও এলাকায় যদি বর্জ্য থেকে যায় তাহলে আমাদের হটলাইনে (০৯৬১১০০০৯৯৯) ফোন দেবেন,positive
অপারেটররা আপনার বাসাবাড়ি কিংবা এলাকায় পরিচ্ছন্নতাকর্মী পাঠিয়ে দেবেন,positive
এ ছাড়াও বর্জ্য অপসারণের সার্বিক কাজ ফেসবুকে লাইভ মনিটরিং এর মাধ্যমে তদারকি করা হবে,positive
পরিবহন চালকেরা উপস্থিত ছিলেন,positive
এর আগে মেয়র ঢাকা বিশ্ববিদ্যালয়ের কার্জন হলের মধ্যে বাংলাদেশ প্রাণিবিজ্ঞান সমিতির উদ্যোগে অনুষ্ঠিত ডেঙ্গু বিষয়ে সচেতনতামূলক পদযাত্রার উদ্বোধন করেন,positive
তিনি এডিস মশার লার্ভা নিধনে নাগরিকদের নিজ নিজ বাড়িঘর আঙিনার আশপাশের কোথাও যেন তিন দিনের বেশি পানি জমে না থাকে সেদিকে সতর্ক থাকার আহ্বান জানান,positive
ক্যামেরাসহ আরও কিছু পণ্যের দাম বাড়ার হার বেশি ,negative
অনেকের কাছে বিভিন্ন ধরনের প্রযুক্তিপণ্য মজুদ ছিল সেই মজুদ শেষ হলে এই পণ্যগুলোর দাম আরও বাড়তে পারে,negative
প্রযুক্তিপণ্যের দাম বাড়ার কারণে এসব পণ্যের ক্রেতা অনেক কমে গেছে ,negative
গ্রাহকেরাও বাজারে প্রত্যাশিত মূল্যে প্রযুক্তিপণ্য কিনতে পারছে না ,negative
এর ফলে প্রযুক্তিপণ্যকেন্দ্রিক দরপত্রগ্রহীতারাও তাদের কাঙ্ক্ষিত মূল্যে পণ্য কিনতে পারছে না,negative
তাঁরাও চরম বিপাকে পড়েছেন বলে তিনি জানান ,negative
বাজারে তুলনামূলকভাবে ক্রেতার সংখ্যা কম ,negative
এই বিপুলসংখ্যক গ্রাহকের হাতে এ যাবৎ কিছুই ছিল না,negative
পিসির বিক্রি গত বছরের তুলনায় উল্লেখযোগ্যহারে বেড়ে যাবে ,negative
এ ধরনের কর্মশালা বৃদ্ধি পেলে দক্ষ হাতে ইন্টারনেট পরিচালনা সম্ভব হবে,positive
সেখানে আলাদা করে বিভিন্ন ক্ষেত্র চিহ্নিত করতে পারেন না অনেকে ,positive
মানুষ জানতে পারবে ও ব্যবহারে উৎসাহিত হবে,positive
তথ্যপ্রযুক্তিতে সমৃদ্ধ হতে হলে দেশের সব শিক্ষাপ্রতিষ্ঠানে কম্পিউটার ও ইন্টারনেট ব্যবহারের সুযোগ করে দিতে হবে,positive
আগামী প্রজন্ম হবে তথ্যপ্রযুক্তিভিত্তিক সুন্দর বাংলাদেশের নাগরিক ,positive
বিশ্বায়নের চ্যালেঞ্জ মোকাবিলা ও অর্থনৈতিক উন্নয়নের জন্য প্রযুক্তিই আমাদের প্রধান শক্তি,positive
ইন্দোনেশিয়া যাওয়ার আগে পড়ালেখা শুরু করেছি,positive
শিক্ষকতা করতো আমাদের দেশ আরো ভালো থাকতো,positive
আরো কিছু আকর্ষণীয় ফিচার,positive
আরো কিছু আকর্ষণীয় ফিচার,positive
একটি সুন্দর ও সুষ্ঠুজীবন গঠনের জন্য  অনুশীলন একান্ত প্রয়োজন ,positive
প্রাণী হত্যা না করা,positive
ব্যাভিচার না করা,positive
স্বপ্ন পুরো হয়নি,negative
বিপরীত লিঙ্গ এর মানুষ গুলা খুব স্বার্থপর,negative
ইচ্ছাটা বাস্তবে রূপ দিতে পারেননি ,negative
প্রথমে কোনো কাজ পাওয়া যায় না ,negative
আমার খুব মন খারাপ হবে,negative
ছিল দর্শনার্থীদের ভিড় ,negative
সকাল থেকেই মেলার প্রবেশপথে দর্শনার্থীদের জটলা ,negative
বিকেল থেকে ভিড় বাড়তে থাকে ,negative
কমিটির নিজস্ব নিরাপত্তা কর্মীসহ স্থানীয় থানা পুলিশকেও হিমশিম খেতে হয়,negative
ভিড় ঠেলে জায়গাই পাওয়া কষ্টকর হয়ে পড়ে,negative
মিথ্যা কথা না বলা,positive
মাদকদ্রব্য সেবন না করা,positive
এ সেক্টরে সম্ভাবনা প্রচুর,positive
অত্যাধুনিক সভ্যতার নতুন কোনো চমকপ্রদ বৈজ্ঞানিক আবিষ্কারের পেছনে কম্পিউটারের কোনো ভূমিকা নেই,positive
কম্পিউটারের অবদান উল্লেখযোগ্যভাবে প্রতীয়মান হয় ,positive
শেষ দিনে এমন ভিড় হবে ভাবতেই পারিনি ,negative
ইচ্ছে থাকা সত্ত্বেও সম্ভব হয়নি,negative
যেকোনো ধরনের মেলা স্বল্প সময়ে হয় না,negative
অ্যান্টিভাইরাস সফটওয়্যার চালিয়েও এ ওয়ার্মটি মোছা যায় না ,negative
মনিটরের দাম যা বেড়েছিল তা এখনও কমেনি,negative
কম্পিউটার তখন যাবতীয় দৃশ্যের নিখুত সমন্বয় করে ,positive
উন্নত প্রযুক্তির মাধ্যমে এটিকে যে আরো অনেক ধাপ এগিয়ে নিয়ে যাবেন বিজ্ঞানীরা,positive
এটি বর্তমানের কল্পনাকেও ছাড়িয়ে যাবে ,positive
ম্যাকাফি সফটওয়্যার ত্রুটিমুক্ত করা সম্ভব হবে ,positive
কঠিন হলেও অসাধ্য নয় ,positive
আপনিও একদিন সফল হবেন ,positive
অনেক পরিশ্রমের পর অবশেষে কাজ পেয়েছি ,positive
বুদ্ধিমত্তার সাথে লেগে থাকলে আপনিও সফল হবেন,positive
ভালো থাকবেন সবাই,positive
প্রতিবাদের শক্তিতে সবাইকে সোচ্চার হওয়ারও আহ্বান জানিয়েছে,positive
নতুন রাস্তা খুলে দেবে,positive
সময়ের সাথে সাথে তথ্য ও যোগাযোগ প্রযুক্তি আইসিটি এর প্রয়োগ সর্বত্র ক্রমশ বৃদ্ধি পাচ্ছে,positive
বাংলাদেশেও এর ব্যবহার ধীরে ধীরে প্রসারিত হচ্ছে ,positive
মেশিন অতি দ্রুত জানিয়ে দেবে কোন্ প্রার্থী কত ভোট পেয়েছেন,positive
সংশ্লিষ্ট লোকবলের খরচ সবই সাশ্রয় হবে ,positive
নির্বাচনের ফলাফল দ্রুত পাওয়া যাবে ,positive
নতুন প্রযুক্তির অনেক অনুষঙ্গকেই পিছিয়ে পড়তে হবে বৈধতার কারণে ,negative
কম্পিউটার কিংবা আইপডে কপি করা অপরাধের পর্যায়ে পড়ে,negative
সমাধানের চেষ্টা করেছে সেটা শোনা যায়না ,negative
আমার খুব পড়াশোনার চাপ যাচ্ছে ,negative
তোমার আরেকজনের উপর নির্ভর করতে হবে,negative
ডান হাতি মানুষের ক্ষেত্রে হয়না,negative
ক্যাম্পাস লাইফটাকে খুব মিস করতেছি,negative
এখন আর ইচ্ছা হলেই বলা যায়না ,negative
আজকে যাবনা,negative
নিয়তির কি নির্মম পরিহাস,negative
এক হ্যাকার ব্যাংকের বিপুল পরিমাণ গোপনীয় তথ্য চুরি করে টেলিভিশনে প্রকাশ করে দিয়েছেন,negative
হাজার প্রতিষ্ঠানের ব্যক্তিগত এসব তথ্য চুরি হয়েছিল,negative
অতিরিক্ত অংশ সরাসরি ইন্টারনেট থেকে ডাউলোড করতে হবে না,negative
বেকারত্ব দিন দিন বেড়েই চলেছে,negative
এটি এর সবচেয়ে বড় সুবিধা ,positive
প্রতিটি নাগরিকের ভোটের মূল্যায়ন হবে ,positive
কেন্দ্র দখল করে ভোটের ফলাফল পাল্টিয়ে ফেলা সম্ভব হবে না,positive
 রাত জাগতেই খুব ভাল লাগতো,positive
তখন খুব একটা ক্লান্তিও লাগতো না৷ ,positive
অংকের হিসেব কষতে কষতে সামান্যতেই ক্লান্ত হয়ে পরি,positive
ভোটারের জন্য ব্যালট ইউনিটটি কার্যকর করতে পারেন ,positive
ভোটটি গৃহীত হলো,positive
প্রতিটি বুথের ফলাফল আলাদাভাবে দেখা যায় ,positive
নির্বাচনে ইভিএম ব্যবহার করা সম্ভব,positive
এই মেশিন সম্পূর্ণ নিরাপদ,positive
মেশিনটি ক্রটিহীনভাবে চালু হয়,positive
কোন ভোটই নষ্ট হয় না,positive
